bar_number,distance_from_D1
D1,0
D2,2.75
D3,5.5
D4,8.25
D5,11.05
D6,13.9
D7,16.8
D8,19.7
D9,22.6
D10,25.55
D11,28.55
D12,31.6
D13,34.65
D14,37.7
D15,40.8
D16,43.95
D17,47.15
D18,50.35
D19,53.55
D20,56.8
D21,60.1
D22,63.45
D23,66.8
D24,70.15
D25,73.6
D26,77.05
D27,80.55
D28,84.1
D29,87.65
D30,91.3
D31,94.95
D32,98.65
D33,102.4
D34,106.15
D35,110
D36,113.85
D37,117.75
D38,121.7
D39,125.65
D40,129.7
D41,133.75
D42,137.85
D43,142
D44,146.15
D45,150.4
D46,154.65
D47,158.95
D48,163.35
D49,167.75
D50,172.25
D51,176.75
D52,181.3
D53,185.95
D54,190.6
D55,195.35
D56,200.1
D57,204.9
D58,209.8
D59,214.7
D60,219.7
D61,224.7
D62,229.8
D63,234.9
D64,240.1
D65,245.4
D66,250.7
D67,256.1
D68,261.5
D69,267
D70,272.6
D71,278.2
D72,283.9
D73,289.6
D74,295.45
D75,301.3
D76,307.25
D77,313.3
D78,319.35
D79,325.55
D80,331.75
D81,338.15
D82,344.65
D83,351.35
D84,358.3
D85,365.5
D86,373.2
D87,380.9
D88,388.6
D89,396.25
D90,403.95
